FTU,Cell Types
Cortical Collecting Duct,Peritubular capillary endothelial cell
Outer Medullary Collecting Duct,Peritubular capillary endothelial cell
Inner Medullary Collecting Duct,Peritubular capillary endothelial cell
Thick Ascending Limb,Peritubular capillary endothelial cell
Descending Thin Limb,Vasa recta descending limb cell
Ascending Thin Limb,Vasa recta ascending limb cell
Liver Lobule,"Hepatic portal fibroblast, Blood vessel smooth muscle cell, Endothelial cell of artery, Stratified cuboidal epithelial cell, Columnar/cuboidal epithelial cell, Vein endothelial cell"
Pulmonary Alveolus,"Lung pericyte, Alveolar capillary type 1 endothelial cell"
Islet of Langerhans,"Capillary endothelial cell, Macrophage"
Prostate Glandular Acinus,"Fibroblast of subepithelial connective tissue of prostatic gland, Smooth muscle cell of prostate, Fibroblast of connective tissue of prostate, Prostate gland microvascular endothelial cell, Vascular associated smooth muscle cell, Pericyte"
Dermal Papilla,Endothelial cell
Villus,"Natural killer cell, Fibroblast, Mast cell, Myofibroblast, Plasma cell, Dendritic cell, B cell, Eosinophil, Innate lymphoid cell, Endocrine cell, Neutrophil"
