FTU,Cell Types
Cortical Collecting Duct,"Kidney collecting duct beta-intercalated cell, Kidney collecting duct alpha-intercalated cell, Kidney cortex collecting duct principal cell"
Outer Medullary Collecting Duct,"Kidney outer medulla collecting duct intercalated cell, Kidney outer medulla collecting duct principal cell"
Inner Medullary Collecting Duct,Kidney inner medulla collecting duct principal cell
Thick Ascending Limb,Kidney loop of Henle thick ascending limb epithelial cell
Descending Thin Limb,Kidney loop of Henle thin descending limb epithelial cell
Ascending Thin Limb,Kidney loop of Henle thin ascending limb epithelial cell
Nephron,"Cortical collecting duct, Proximal straight tubule, Proximal convoluted tubule segment 2, Proximal convoluted tubule segment 1, Epithelial cell of proximal tubule segment 1, Distal convoluted tubule, Kidney distal convoluted tubule epithelial cell, Renal connecting tubule, Kidney connecting tubule epithelial cell, Macula densa epithelial cell, Thick ascending limb of loop of Henle, Loop of Henle ascending limb thin segment, Descending thin limb, Kidney inner medulla collecting duct, Renal Corpuscle, Kidney loop of Henle thin ascending limb epithelial cell, Kidney loop of Henle thin descending limb epithelial cell, Kidney loop of Henle thick ascending limb epithelial cell, Kidney cortex collecting duct principal cell, Kidney outer medulla collecting duct principal cell"
Renal Corpuscle,"Glomerular mesangial cell, Glomerular visceral epithelial cell, Epithelial cell of proximal tubule, Glomerular capillary endothelial cell, Efferent arteriole endothelial cell, Parietal epithelial cell, Afferent arteriole endothelial cell, Macula densa epithelial cell"
Crypt Of Lieberkuhn,"Large intestine crypt goblet cell, Enterocyte of epithelium of large intestine, Neuroendocrine cell, Intestinal crypt stem cell of large intestine, Intestinal tuft cell"
Liver Lobule,"Hepatic oval stem cell, Endothelial cell of hepatic sinusoid, Hepatic stellate cell, Kupffer Cell, Hepatocyte"
Bronchial Submucosal Gland,"Airway submucosal gland duct ciliated cell, Airway submucosal gland duct basal cell, Mucus secreting cell of bronchus submucosal gland, Airway submucosal gland collecting duct epithelial cell, Serous secreting cell of bronchus submucosal gland, Myoepithelial cell of bronchus submucosal gland"
Pulmonary Alveolus,"Type II pneumocyte, Type I pneumocyte, Alveolar type 1 fibroblast cell, Secondary crest myofibroblast"
Intercalated Duct,"Epithelial cell of exocrine pancreas, Pancreatic centro-acinar cell, Intercalated duct of pancreas"
Acinus,"Pancreatic acinar cell, Pancreatic goblet cell, Epithelial cell of exocrine pancreas, Pancreatic centro-acinar cell, Intercalated duct of pancreas"
Islet of Langerhans,"Pancreatic A cell, Type B pancreatic cell, Pancreatic D cell, Pancreatic PP cell"
Prostate Glandular Acinus,"Luminal cell of prostate epithelium, Basal cell of prostate epithelium"
Dermal Papilla,Skin fibroblast
Epidermal Ridge,"Prickle cell, Epidermal Langerhans cell, Basal cell of epidermis, Merkel cell, Melanocyte of skin"
Villus,"Tuft cell of small intestine, Enterocyte, Duodenal goblet cell"
Red Pulp,"CD14-positive, CD16-low monocyte, Follicular dendritic cell, Plasmablast, Neutrophil, Splenic tingible body macrophage, Splenic marginal zone macrophage, Splenic red pulp macrophage, Dendritic cell, human, Hematopoietic stem cell, Reticular cell of splenic sinusoid"
White Pulp,"Splenic white pulp macrophage, Smooth muscle cell, Splenic endothelial cell, Stromal cell, Reticular cell of splenic cord, CD14-positive, CD16-low monocyte, Follicular dendritic cell, Plasmablast, Neutrophil"
Thymus Lobule,"Double-positive, alpha-beta thymocyte, Thymus subcapsular epithelium, Thymic plasmacytoid dendritic cell, Thymic cortical macrophage, Subcapsular cortical epithelial cell, Beige adipocyte, Medullary thymic epithelial cell type 1, Hassall's corpuscle, Corticomedullary thymic epithelial cell, Thymic medullary macrophage"
